contract,maximum_contracts
1 BA,--1--
1 Trefl,-----
7 Karo,23--2
1 BA,-4-11
7 BA,23322
2 Trefl,-11--
2 Karo,-----
1 Trefl,2-44-
pas,-----
1 Trefl,2----
pas,-3522
pas,3----
pas,-2-22
5 Kier,1--2-
3 Trefl,--111
1 Trefl,1--1-
pas,-----
2 BA,-4-42
pas,33-21
