contract,maximum_contracts
2 Kier,2-4-3
1 Trefl,122-2
2 Kier,--2-2
pas,-21--
1 Pik,-2-1-
1 Karo,-----
2 Trefl,1----
2 Pik,52455
pas,--143
2 Kier,45412
pas,1--21
pas,-1-1-
pas,44244
1 Kier,--1--
pas,-----
1 Trefl,52525
pas,-1---
1 Pik,---1-
2 Trefl,54235
pas,1-12-
1 Trefl,2----
2 Pik,42243
pas,4---1
2 Trefl,3-2--
1 Kier,-33-1
pas,31142
1 Kier,---3-
1 Pik,4--1-
pas,-----
pas,-----
1 Karo,-1---
pas,11423
1 Karo,-4---
pas,-----
pas,-----
2 Trefl,2--1-
1 Kier,-12--
2 Karo,-5363
1 Karo,13412
3 Karo,-4-21
pas,1----
2 Karo,-2463
4 Kier,71717
1 Kier,--3--
2 Pik,-2123
pas,3-2--
1 Pik,33233
2 Kier,34524
1 Trefl,1----
pas,-1---
pas,-----
pas,-----
1 Kier,-4221
pas,-3--2
pas,-44--
3 Karo,36335
pas,-----
pas,--4-1
1 Pik,--311
pas,-----
2 Kier,2-2--
1 Kier,76717
3 Karo,37646
1 Kier,1-3--
1 Trefl,-1---
2 Karo,43---
2 Kier,--341
pas,-----
pas,-----
2 Pik,2-331
2 Karo,-1---
1 Pik,4-331
2 Karo,-3211
1 Kier,-3---
1 Pik,23-1-
2 Trefl,51253
pas,3-3-1
pas,-1---
2 Kier,-----
1 Trefl,3-3--
pas,-----
1 Kier,--1--
pas,34-21
1 Kier,36524
3 Kier,6-611
pas,-3211
1 Pik,---2-
2 Karo,-5431
pas,-----
pas,-----
pas,-----
pas,12---
1 Trefl,-1---
pas,-----
pas,-----
2 Kier,1-323
1 Kier,-----
pas,44345
pas,-----
pas,21---
1 Kier,--43-
2 Kier,43625
1 Trefl,22---
1 Trefl,313-1
1 Karo,---11
3 Pik,3--53
3 Pik,3--53
1 Kier,3--53
pas,-----
2 Trefl,4-564
1 Karo,25--2
3 Pik,17477
1 Trefl,2-2--
pas,-----
pas,-----
2 Karo,344--
pas,1----
3 Karo,77166
1 Trefl,-----
pas,-----
1 Karo,---2-
2 Trefl,3-3--
pas,--1--
2 Trefl,22-21
pas,-3--2
2 Trefl,77437
1 Trefl,45-51
3 Karo,24222
1 Kier,--2--
3 Trefl,44453
2 Karo,342-1
pas,--212
1 Kier,--2--
pas,--1--
1 Trefl,53254
1 Pik,-1341
1 Karo,-1---
2 Trefl,42-44
2 Pik,27477
pas,133-1
pas,1-112
1 Karo,31--2
3 Trefl,5--13
pas,-----
2 Trefl,11---
pas,1----
2 Kier,1-3--
pas,-11--
1 Trefl,5-5-2
1 Karo,5-5-2
2 Trefl,62222
3 Trefl,62222
1 Kier,-----
pas,-----
2 Karo,-4111
1 Trefl,-----
1 Kier,1-4-3
pas,41133
2 Pik,22-2-
2 Trefl,23244
2 Karo,-5-5-
1 Pik,---1-
1 Karo,-----
pas,2-444
3 Karo,-2221
pas,-----
pas,2-2--
2 Trefl,5-3-3
2 Kier,1-21-
pas,-----
1 Pik,---1-
pas,2----
1 Kier,-----
1 Kier,-----
2 Karo,14232
pas,1----
1 Pik,73577
2 Kier,22534
pas,21111
pas,24422
2 Kier,-321-
1 Kier,-1-11
pas,-22--
pas,-223-
1 Pik,34443
pas,-----
2 Kier,2-2--
2 Kier,-2523
1 Trefl,22--1
2 Karo,24223
pas,-----
2 Kier,-13--
2 Kier,--554
1 Trefl,--554
2 Pik,24465
pas,24465
2 Pik,41254
pas,-----
pas,63162
1 Pik,11-1-
2 Karo,25511
3 Trefl,61455
1 Kier,21222
1 Trefl,---1-
pas,2--22
pas,-----
1 Pik,---2-
1 Pik,1--2-
1 Trefl,-----
pas,-3---
3 Kier,1-5-1
2 Trefl,55--3
2 Karo,---1-
pas,-----
pas,-2---
1 Kier,-----
2 Kier,--2-2
pas,----1
1 Trefl,12---
1 Trefl,34123
2 Karo,12-1-
2 Karo,-4331
pas,---2-
1 Trefl,3---2
1 Pik,55333
1 Pik,-----
pas,-----
1 Kier,-3221
pas,-1---
pas,1----
1 Trefl,2----
3 Karo,-43-2
3 Kier,3-531
pas,12123
1 Karo,-2--1
pas,-----
1 Trefl,---3-
pas,-----
1 Karo,-2---
2 Trefl,22---
1 Kier,-----
2 Karo,-42-1
1 Trefl,2-2-1
pas,-11--
3 Trefl,435-4
pas,-3-1-
3 Trefl,63165
1 Kier,--2-1
pas,-12--
1 Karo,233--
1 Trefl,51543
1 Pik,-2-2-
pas,2-1--
2 Pik,-5-52
pas,---21
1 Kier,25224
2 Pik,31-2-
pas,-----
pas,--1-1
pas,-----
3 Karo,15243
1 Kier,21532
pas,---1-
2 Trefl,21--1
2 Trefl,1----
pas,56---
2 Pik,1-332
2 Pik,2--3-
pas,---1-
pas,323--
3 Pik,---3-
2 Kier,44626
1 Kier,-11--
1 Kier,-2-1-
pas,--1--
2 Trefl,54215
pas,---3-
pas,-----
1 Trefl,1----
pas,--1--
2 Pik,23255
pas,-2214
3 Kier,--542
2 Karo,33224
1 Pik,-1---
2 Pik,-4-3-
1 Kier,41--2
pas,-----
2 Kier,23443
pas,-----
pas,-1---
1 Trefl,--2--
pas,31442
pas,1-2--
1 Trefl,4-4--
2 Trefl,3--12
1 Pik,12322
2 Kier,35626
pas,--2--
pas,-----
1 Karo,-----
1 Karo,-1--1
pas,-----
1 Trefl,4----
2 Kier,1121-
pas,-----
pas,-----
1 Karo,23-2-
1 Trefl,-----
2 Pik,---42
1 Kier,1-22-
1 Kier,--311
2 Kier,-1322
2 Trefl,6-42-
pas,-----
2 Trefl,42-2-
pas,44255
pas,2----
1 Kier,-2132
pas,-----
1 Karo,1----
pas,--3--
3 Kier,-55-4
pas,-----
pas,24313
1 Karo,-----
1 Kier,-1413
pas,--1--
1 Kier,2-4-3
1 Karo,65716
2 Trefl,2----
2 Pik,---41
2 Pik,---2-
pas,-----
pas,-----
1 Kier,--1--
1 Karo,-----
pas,23--2
1 Karo,-4-11
1 Pik,23322
1 Karo,-11--
1 Trefl,-----
1 Pik,2-44-
pas,-----
pas,2----
pas,-3522
pas,3----
2 Karo,-2-22
1 Pik,1--2-
2 Kier,--111
1 Pik,1--1-
pas,-----
pas,-4-42
2 Trefl,33-21
